source_id,source_name,lat,lon,total_co2_emissions_2025,source,year,total_capacity_2025,total_activity_2025,activity_units,capacity_units
358,PATHADI TPS PH -I,22.2454,82.7246,3776372,Central Electricity Authority,Nov-25,600,3939.42,GWh,MW
366,PIPAVAV CCCP,20.8986,71.4693,177493,Central Electricity Authority,Nov-25,702,404.97,GWh,MW
371,PRAGATI CCCP -III,28.7962,77.0706,1087534,Central Electricity Authority,Nov-25,1500,2761.83,GWh,MW
372,PRAGATI CCGT,28.6146,77.2528,310324,Central Electricity Authority,Nov-25,330.4,724.83,GWh,MW
374,PRYAGRAJ (BARA) TPP,25.196,81.6594,10912503,Central Electricity Authority,Nov-25,1980,12256.96,GWh,MW
381,R_GUNDEM - B,18.7695,79.4494,28496,Central Electricity Authority,Nov-25,62.5,14.42,GWh,MW
382,R_GUNDEM STPS,18.7572,79.456,13643171,Central Electricity Authority,Nov-25,2600,13809.46,GWh,MW
384,RAGHUNATHPUR TPP PH-I,23.622,86.661,5884218,Central Electricity Authority,Nov-25,1200,6137.81,GWh,MW
385,RAICHUR,16.3532,77.3422,8294950,Central Electricity Authority,Nov-25,1720,7425.1,GWh,MW
386,RAIGARH TPP,21.9846,83.2331,6300189,Central Electricity Authority,Nov-25,1000,6583.1,GWh,MW
387,RAIKHEDA,21.4499,81.8525,7883445,Central Electricity Authority,Nov-25,1370,8479.86,GWh,MW
390,RAJIV GANDHI  TPS HISAR,29.356,75.869,4958390,Central Electricity Authority,Nov-25,1200,5180.48,GWh,MW
391,RAJPURA TPP,30.557,76.577,8145771,Central Electricity Authority,Nov-25,1400,9636.6,GWh,MW
393,RAMGARH GT,27.336,70.538,219691,Central Electricity Authority,Nov-25,273.5,428.81,GWh,MW
399,RATIJA TPP,22.3404,82.493,652400,Central Electricity Authority,Nov-25,100,513.52,GWh,MW
400,RATNAGIRI GAS,17.5587,73.167,488001,Central Electricity Authority,Nov-25,1967.08,1388.14,GWh,MW
401,RAYAL SEEMA,14.704,78.4577,8997621,Central Electricity Authority,Nov-25,1650,8365.91,GWh,MW
404,RIHAND,24.027,82.7915,20877123,Central Electricity Authority,Nov-25,3000,21906.19,GWh,MW
408,ROKHIA GT,23.626,91.1948,139027,Central Electricity Authority,Nov-25,63,181.04,GWh,MW
410,ROPAR,31.0417,76.5847,4599910,Central Electricity Authority,Nov-25,840,4120.83,GWh,MW
411,ROSA TPP PH - 1,27.818,79.936,6584634,Central Electricity Authority,Nov-25,1200,6828.06,GWh,MW
415,SAGARDIGHI TPP,24.3696,88.1046,11651264,Central Electricity Authority,Nov-25,1600,11779.84,GWh,MW
418,SALAYA TPP,22.3049,69.7101,4879927,Central Electricity Authority,Nov-25,1200,5332.62,GWh,MW
423,SANJAY GANDHI,23.3026,81.0668,8428819,Central Electricity Authority,Nov-25,1340,7787.1,GWh,MW
424,SANTALDIH,23.6013,86.4666,3684172,Central Electricity Authority,Nov-25,500,3799.46,GWh,MW
426,SASAN UMPP,23.9784,82.6275,26935499,Central Electricity Authority,Nov-25,3960,29510.86,GWh,MW
