source_id,source_name,lat,lon,total_co2_emissions_2025,total_activity_2025,activity_units,emissions_factor_2025,emissions_factor_units,total_capacity_2025,capacity_units,capacity_factor_2025,year,source
1897118,Meghalaya Cements Umbadoh Cement Plant,25.20450029,92.38390601,252781.9296,519496.7623,t of cement,0.48659,t of CO2 per t of cement,948779.7814,t of cement,0.548054179,2025,Climate Trace
1897121,Prism Johnson Mankahari Cement Plant,24.56415607,81.00145893,1645924.561,4525973.461,t of cement,0.363662,t of CO2 per t of cement,6598468.448,t of cement,0.688110246,2025,Climate Trace
1897122,Sanghi Industries Sanghipuram Cement Plant,23.49798576,68.58039914,2729423.913,4018290.634,t of cement,0.67925,t of CO2 per t of cement,6098584.475,t of cement,0.660896684,2025,Climate Trace
1897123,Saurashtra Cement Ranavav Cement Plant,21.70458851,69.71967845,534470.8901,1052833.429,t of cement,0.50765,t of CO2 per t of cement,1499651.92,t of cement,0.704572539,2025,Climate Trace
1897127,Sri Lalitha Nalgonda Cement Plant,16.73506748,79.88174994,400664.5145,509978.3804,t of cement,0.78565,t of CO2 per t of cement,999767.9467,t of cement,0.510094907,2025,Climate Trace
1897129,Tamilnadu Cements Alangalum Cement Plant,9.374590691,77.67864279,158870.7666,203975.9737,t of cement,0.77887,t of CO2 per t of cement,399907.1787,t of cement,0.510059091,2025,Climate Trace
1897130,Tata Chemicals Mithapur Cement Plant,22.40097608,69.01929283,247747.09,421934.1758,t of cement,0.58717,t of CO2 per t of cement,899791.152,t of cement,0.468703825,2025,Climate Trace
1897131,Toshali Cement Ampavalli Cement Plant,18.40740433,82.97349328,89884.16687,114407.3912,t of cement,0.78565,t of CO2 per t of cement,199953.5893,t of cement,0.573771346,2025,Climate Trace
1897132,UCWL Udaipur Cement Plant,24.6585659,73.87460336,1703649.204,2508132.8,t of cement,0.67925,t of CO2 per t of cement,4698909.35,t of cement,0.536374673,2025,Climate Trace
1897133,Wonder Cement Nimbahera Cement Plant,24.6635105,74.63177448,3184901.719,4688850.524,t of cement,0.67925,t of CO2 per t of cement,7998143.574,t of cement,0.588335476,2025,Climate Trace
1897135,Ultratech Dalla Super 6 Vilemar Kundi Cement Plant,24.44643048,83.07530034,696192.4575,1024942.889,t of cement,0.67925,t of CO2 per t of cement,2009533.573,t of cement,0.510040741,2025,Climate Trace
32438515,Birla Chanderia Cement Plant,24.9299234,74.63432651,1152884.298,2271021.96,t of cement,0.50765,t of CO2 per t of cement,4199025.376,t of cement,0.53920983,2025,Climate Trace
